Tatouage,Description,CodeEx,Axe,Sens,Pr,État,Dans tunnel,Tunnel,Segment,Parent,GPS,triCode,Fermeture
L10.152L,Niche sécurité NSY-019 - PAU NR03B - Tunnel de Nanterre-La Défense,DEF-NSY-019/DEF,A14,Y,"3,0135",EXPLOI,Oui,LA_DEFENSE,12004510,,"48.899593,2.212964",A14,A14&NEU-Y
L10.153M,Niche sécurité NSY-020 - PAU NR03C - Tunnel de Nanterre-La Défense,DEF-NSY-020/DEF,A14,Y,"3,0305",EXPLOI,Oui,LA_DEFENSE,12004511,,"48.900043,2.211008",A14,A14&NEU-Y
L10.154N,Niche sécurité NSY-021 - PAU NR03D - Tunnel de Nanterre-La Défense,DEF-NSY-021/DEF,A14,Y,"3,0443",EXPLOI,Oui,LA_DEFENSE,12004511,,"48.900490,2.208689",A14,A14&NEU-Y
L10.155P,Niche sécurité NSY-022 - PAU NR03E - Tunnel de Nanterre-La Défense,DEF-NSY-022/DEF,A14,Y,"3,0613",EXPLOI,Oui,LA_DEFENSE,12011956,,"48.901043,2.206353",A14,A14&NEU-Y
L10.156R,Niche sécurité NSY-023 - PAU NR03F - Tunnel de Nanterre-La Défense,DEF-NSY-023/DEF,A14,Y,"3,0784",EXPLOI,Oui,ECHANGEUR_NANTERRE,12004514,,"48.901480,2.204367",ECH,A14&NEU-Y
L10.157S,Niche sécurité NSY-024 - PAU NR03G - Tunnel de Nanterre-La Défense,DEF-NSY-024/DEF,A14,Y,"3,0958",EXPLOI,Oui,LA_DEFENSE,12004514,,"48.902073,2.202206",A14,A14&NEU-Y
L10.158T,Niche sécurité NSY-025 - PAU NR04A - Tunnel de Nanterre-La Défense,DEF-NSY-025/DEF,A14,Y,"4,016",EXPLOI,Oui,LA_DEFENSE,12004514,,"48.902843,2.200011",A14,A14&NEU-Y
L10.159U,Niche sécurité NSW-001 - PAU NR04R - Tunnel de Nanterre-La Défense,DEF-NSW-001/DEF,A14,W,"4,032",EXPLOI,Oui,LA_DEFENSE,12004442,,"48.902600,2.199844",A14,A14&NEU-W
L10.161W,Niche sécurité NSW-002 - PAU NR03R - Tunnel de Nanterre-La Défense,DEF-NSW-002/DEF,A14,W,"3,0927",EXPLOI,Oui,LA_DEFENSE,12004442,,"48.901750,2.201986",A14,A14&NEU-W
L10.162X,Niche sécurité NSW-003 - PAU NR03S - Tunnel de Nanterre-La Défense,DEF-NSW-003/DEF,A14,W,"3,0751",EXPLOI,Oui,LA_DEFENSE,12004442,,"48.900837,2.204347",A14,A14&NEU-W
L10.163Y,Niche sécurité NSW-004 - PAU NR03T - Tunnel de Nanterre-La Défense,DEF-NSW-004/DEF,A14,W,"3,0542",EXPLOI,Oui,LA_DEFENSE,12004442,,"48.900276,2.207206",A14,A14&NEU-W
L10.164A,Niche sécurité NSW-005 - PAU NR03U - Tunnel de Nanterre-La Défense,DEF-NSW-005/DEF,A14,W,"3,0304",EXPLOI,Oui,LA_DEFENSE,12004440,,"48.899685,2.210592",A14,A14&NEU-W
L10.165C,Niche sécurité NSW-006 - PAU NR03V - Tunnel de Nanterre-La Défense,DEF-NSW-006/DEF,A14,W,"3,014",EXPLOI,Oui,LA_DEFENSE,12004439,,"48.899208,2.212794",A14,A14&NEU-W
L10.166D,Niche sécurité NSW-007 - PAU NR02R - Tunnel de Nanterre-La Défense,DEF-NSW-007/DEF,A14,W,"2,0916",EXPLOI,Oui,LA_DEFENSE,12004439,,"48.898540,2.215508",A14,A14&NEU-W
L10.167E,Niche sécurité NSW-008 - PAU NR02S - Tunnel de Nanterre-La Défense,DEF-NSW-008/DEF,A14,W,"2,0783",EXPLOI,Oui,LA_DEFENSE,12004439,,"48.898098,2.217297",A14,A14&NEU-W
L10.168F,Niche sécurité NSW-009 - PAU NR02T - Tunnel de Nanterre-La Défense,DEF-NSW-009/DEF,A14,W,"2,0568",EXPLOI,Oui,LA_DEFENSE,12004439,,"48.897263,2.220106",A14,A14&NEU-W
L10.169G,Niche sécurité NSW-010 - PAU NR02U - Tunnel de Nanterre-La Défense,DEF-NSW-010/DEF,A14,W,"2,0337",EXPLOI,Oui,LA_DEFENSE,12011947,,"48.896460,2.223003",A14,A14&NEU-W
L10.171J,Niche sécurité NSW-011 - PAU NR02V - Tunnel de Nanterre-La Défense,DEF-NSW-011/DEF,A14,W,"2,0267",EXPLOI,Oui,LA_DEFENSE,12011947,,"48.896240,2.223778",A14,A14&NEU-W
L10.172K,Niche sécurité NSW-501 - PAU NR02X - Tunnel de Nanterre-La Défense,DEF-NSW-501/DEF,N314,W,"2,0049",EXPLOI,Oui,LA_DEFENSE,12004437,,"48.895073,2.227106",A14,A14&NEU-W
L10.173L,Niche sécurité NSW-502 - PAU NR01X - Tunnel de Nanterre-La Défense,DEF-NSW-502/DEF,N314,W,"1,0909",EXPLOI,Oui,LA_DEFENSE,12004437,,"48.894350,2.227169",A14,A14&NEU-W
L10.174M,Niche sécurité NSW-012 - PAU NR02W - Tunnel de Nanterre-La Défense,DEF-NSW-012/DEF,A14,W,"2,0012",EXPLOI,Oui,LA_DEFENSE,12004436,,"48.895164,2.226675",A14,A14&NEU-W
L10.175N,Niche sécurité NSW-013 - PAU NR01R - Tunnel de Nanterre-La Défense,DEF-NSW-013/DEF,A14,W,"1,0836",EXPLOI,Oui,LA_DEFENSE,12004436,,"48.894444,2.229225",A14,A14&NEU-W
L10.176P,Niche sécurité NSW-014 - PAU NR01S - Tunnel de Nanterre-La Défense,DEF-NSW-014/DEF,A14,W,"1,0671",EXPLOI,Oui,LA_DEFENSE,12004436,,"48.893745,2.231197",A14,A14&NEU-W
L10.177R,Niche sécurité NSW-015 - PAU NR01T - Tunnel de Nanterre-La Défense,DEF-NSW-015/DEF,A14,W,"1,0453",EXPLOI,Oui,LA_DEFENSE,12004435,,"48.892757,2.233789",A14,A14&NEU-W
L10.178S,Niche sécurité NSW-016 - PAU NR01U - Tunnel de Nanterre-La Défense,DEF-NSW-016/DEF,A14,W,"1,0241",EXPLOI,Oui,LA_DEFENSE,12011946,,"48.892014,2.236644",A14,A14&NEU-W
L10.179T,Niche sécurité NSW-017 - PAU NR01V - Tunnel de Nanterre-La Défense,DEF-NSW-017/DEF,A14,W,"1,0054",EXPLOI,Oui,LA_DEFENSE,12011946,,"48.891415,2.238781",A14,A14&NEU-W
L10.181V,Niche sécurité NSW-018 - PAU NR00R - Tunnel de Nanterre-La Défense,DEF-NSW-018/DEF,A14,W,"0,085",EXPLOI,Oui,LA_DEFENSE,12004432,,"48.890660,2.241228",A14,A14&NEU-W
L10.182W,Niche sécurité NSW-019 - PAU NR00S - Tunnel de Nanterre-La Défense,DEF-NSW-019/DEF,A14,W,"0,0668",EXPLOI,Oui,LA_DEFENSE,12004432,,"48.890305,2.242536",A14,A14&NEU-W
L10.183X,Niche sécurité NSW-703 - PAU NM00S - Tunnel de Nanterre-La Défense,DEF-NSW-703/DEF,A14,W,"0,002",EXPLOI,Oui,LA_DEFENSE,12004432,,"48.890034,2.242336",A14,A14&NEU-W
L10.184Y,Niche sécurité NSW-020 - PAU NR00T - Tunnel de Nanterre-La Défense,DEF-NSW-020/DEF,A14,W,"0,05",EXPLOI,Oui,LA_DEFENSE,12004432,,"48.887780,2.249936",A14,A14&NEU-W
L10.185A,Niche sécurité NSW-021 - PAU NV00R - Tunnel de Nanterre-La Défense,DEF-NSW-021/DEF,A14,W,"0,0389",EXPLOI,Oui,LA_DEFENSE,12004430,,"48.887318,2.251353",A14,A14&NEU-W
L10.186C,Niche sécurité NSW-022 - PAU NV00S - Tunnel de Nanterre-La Défense,DEF-NSW-022/DEF,A14,W,"0,0272",EXPLOI,Oui,LA_DEFENSE,12004430,,"48.888107,2.249206",A14,A14&NEU-W
L10.187D,Niche sécurité NSW-023 - PAU NR00U - Tunnel de Nanterre-La Défense,DEF-NSW-023/DEF,A14,W,"0,021",EXPLOI,Oui,LA_DEFENSE,12004428,,"48.887833,2.250369",A14,A14&NEU-W
L10.197P,Niche sécurité NSW-901 - PAU NV00T - Tunnel de Nanterre-La Défense,DEF-NSW-901/DEF,N1014,W,"0,0275",EXPLOI,Oui,LA_DEFENSE,12004429,,"48.886936,2.251947",A14,A14&NEU-W
L10.198R,Niche sécurité NSW-024 - PAU NR00V - Tunnel de Nanterre-La Défense,DEF-NSW-024/DEF,A14,W,"0,0103",EXPLOI,Oui,LA_DEFENSE,12004428,,"48.887790,2.250486",A14,A14&NEU-W
L10.199S,Niche sécurité NSW-902 - PAU - Tunnel de Nanterre-La Défense,DEF-NSW-902/DEF,N1014,W,"0,027",EXPLOI,Oui,LA_DEFENSE,12004429,,"48.887054,2.251895",A14,A14&NEU-W
L10.201U,Niche sécurité NSY-901 - PAU NV00A - Tunnel de Nanterre-La Défense,DEF-NSY-901/DEF,N1014,Y,"0,007",EXPLOI,Oui,LA_DEFENSE,12011964,,"48.887790,2.252750",A14,A14&NEU-Y
L10.208D,Niche incendie NSE-001 (n°A07) - Tunnel de Belle-Rive,NSE-001/BEL,A86OUEST,E,"76,0968",EXPLOI,Non,BELLE-RIVE,12014204,,"48.886131,2.165144",RUE,RUE-E
L10.211G,Niche sécurité NSE-003 (n°A03) - PAU RW76S - Tunnel de Belle-Rive,NSE-003/BEL,A86OUEST,E,"76,0571",EXPLOI,Oui,BELLE-RIVE,12005712,,"48.882683,2.165594",RUE,RUE-E
L10.212H,Niche sécurité NSI-004 (n°A06) - PAU RW76I - Tunnel de Belle-Rive,NSI-006/BEL,A86OUEST,I,"76,0759",EXPLOI,Oui,BELLE-RIVE,12005637,,"48.884370,2.165886",RUE,RUE-I
L10.213J,Niche sécurité NSE-002 (n°A05) - PAU RW76Q - Tunnel de Belle-Rive,NSE-002/BEL,A86OUEST,E,"76,0752",EXPLOI,Oui,BELLE-RIVE,12005712,,"48.884274,2.165361",RUE,RUE-E
L10.214K,Niche sécurité NSI-005 (n°A04) - PAU RW76G - Tunnel de Belle-Rive,NSI-005/BEL,A86OUEST,I,"76,0565",EXPLOI,Oui,BELLE-RIVE,12005637,,"48.882618,2.166028",RUE,RUE-I
L10.215L,Niche sécurité NSE-004 (n°A01) - PAU RW76U - Tunnel de Belle-Rive,NSE-004/BEL,A86OUEST,E,"76,0325",EXPLOI,Oui,BELLE-RIVE,12005711,,"48.880650,2.164558",RUE,RUE-E
L10.216M,Niche sécurité NSI-004 (n°A02) - PAU RW76E - Tunnel de Belle-Rive,NSI-004/BEL,A86OUEST,I,"76,0326",EXPLOI,Oui,BELLE-RIVE,12005635,,"48.880560,2.164981",RUE,RUE-I
L10.217N,Niche sécurité NSE-005 (n°P05) - PAU RW76W - Tunnel de Belle-Rive,NSE-005/BEL,A86OUEST,E,"76,0173",EXPLOI,Oui,BELLE-RIVE,12005711,,"48.879295,2.163781",RUE,RUE-E
L10.218P,Niche sécurité NSI-003 (n°P06) - PAU RW76C - Tunnel de Belle-Rive,NSI-003/BEL,A86OUEST,I,"76,016",EXPLOI,Oui,BELLE-RIVE,12005635,,"48.879170,2.164197",RUE,RUE-I
L10.219R,Niche sécurité NSE-006 (n°P03) - PAU RW76Y - Tunnel de Belle-Rive,NSE-006/BEL,A86OUEST,E,"76,0042",EXPLOI,Oui,BELLE-RIVE,12005711,,"48.878246,2.163061",RUE,RUE-E
L10.221T,Niche sécurité NSI-002 (n°P04) - PAU RW76A - Tunnel de Belle-Rive,NSI-002/BEL,A86OUEST,I,"76,0028",EXPLOI,Oui,BELLE-RIVE,12005635,,"48.878060,2.163436",RUE,RUE-I
L10.222U,Niche sécurité NSE-007 (n°P01) - PAU RW75R - Tunnel de Belle-Rive,NSE-007/BEL,A86OUEST,E,"75,075",EXPLOI,Oui,BELLE-RIVE,12005709,,"48.876865,2.161606",RUE,RUE-E
