,Tatouage,Description,Code Exploitant,Entité,Axe,Sens,Pr,Type d'Axe,Axe 2aire,État,Local,Dans tunnel,Tunnel,Famille,Type Famille,Linéaire,Segment,Niveau,Parent,Mainteneur,Détenteur,Latitude,Longitude,GPS,Responsable,Date de mise en service,Fonction F40,Fonction Symptome,ID ISIDORE,Pr fin
3,L10.003J,ST 86.5,ST86.5,AGER_NORD,A86NORD,E,"15,0826",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A86NORDE,12011557,2,L10.447M,PCTT_NORD,DIRIF,"48,92375","2,383681","48.923750,2.383681",UER_SAINT-DENIS,,C11,BAT,,"15,0826"
4,L10.004K,PL de Guichard (mitoyen avec Express) - Saint Denis,PL_GUICHARD,AGER_NORD,A1,W,"2,04",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,A1W,12006873,1,,PCTT_NORD,DIRIF,"48,92289","2,356356","48.922890,2.356356",CD-93,,C11,BAT,,"2,04"
5,L10.005L,ST 1.1,ST1.1,AGER_NORD,A1,W,"2,04",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A1W,12006873,1,,PCTT_NORD,DIRIF,"48,92292","2,356181","48.922920,2.356181",CD-93,,C11,BAT,,"2,04"
6,L10.007N,PC DEN + ST 1.2 - Saint Denis,PC_ST1.2,AGER_NORD,A1,W,4,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PC,A1W,12004141,1,,PCTT_NORD,DIRIF,"48,932465","2,370203","48.932465,2.370203",UER_SAINT-DENIS,,C11,BAT,,4
7,L10.008P,ST 86.6,ST86.6,AGER_NORD,A86NORD,I,"17,006",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A86NORDI,12005265,1,,PCTT_NORD,DIRIF,"48,925682","2,399989","48.925682,2.399989",UER_SAINT-DENIS,,C11,BAT,,"17,006"
8,L10.012U,ST 1.4,ST1.4,AGER_NORD,A1,Y,"8,05",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A1Y,12004095,1,,PCTT_NORD,DIRIF,"48,941746","2,430242","48.941746,2.430242",UER_SAINT-DENIS,,C9,BAT,,"8,05"
9,L10.013V,PL AUL - Aulnay,PL_AULNAY,AGER_NORD,A3,W,14,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,A3W,12005058,1,,PCTT_NORD,DIRIF,"48,961075","2,473169","48.961075,2.473169",UER_SAINT-DENIS,,C11,BAT,,14
10,L10.014W,LC AUL + ST 1.5 - Aulnay,LC AUL_ST1.5,AGER_NORD,A3,W,14,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LC,A3W,12005058,1,,PCTT_NORD,DIRIF,"48,961075","2,473169","48.961075,2.473169",UER_SAINT-DENIS,,C11,BAT,,14
11,L10.015X,ST 1.6,ST1.6,AGER_NORD,A3,Y,"16,02",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A3Y,12004998,1,,PCTT_NORD,DIRIF,"48,97348","2,488275","48.973480,2.488275",UER_SAINT-DENIS,,C11,BAT,,"16,02"
12,L10.016Y,ST 1.7,ST1.7,AGER_NORD,A1,Y,16,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A1Y,12004123,1,,PCTT_NORD,DIRIF,"48,98595","2,506908","48.985950,2.506908",UER_SAINT-DENIS,,C11,BAT,,16
13,L10.017A,ST 104.6,ST104.6,AGER_NORD,A104NORD,I,"3,08",,,DECONF,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A104NORDI,12004307,1,,PCTT_NORD,DIRIF,"48,957558","2,529414","48.957558,2.529414",UER_SAINT-DENIS,,C11,BAT,,"3,08"
14,L10.019D,ST 104.4,ST104.4,AGER_EST,A104EST,E,"11,03",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A104ESTE,12004385,1,,PCTT_EST,DIRIF,"48,966892","2,605481","48.966892,2.605481",UER_CHAMPIGNY,,C11,BAT,,"11,03"
15,L10.021F,ST 104.3,ST104.3,AGER_EST,A104EST,E,"15,05",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A104ESTE,12018054,1,,PCTT_EST,DIRIF,"48,93626","2,628483","48.936260,2.628483",UER_CHAMPIGNY,,C11,BAT,,"15,05"
16,L10.022G,TR 104.3,TR104.3,AGER_EST,A104EST,E,17,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-TR,A104ESTE,12018441,1,,PCTT_EST,DIRIF,"48,92328","2,630525","48.923280,2.630525",UER_CHAMPIGNY,,C11,BAT,,17
17,L10.023H,ST 104.2,ST104.2,AGER_EST,A104EST,I,"19,07",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A104ESTI,12018167,1,,PCTT_EST,DIRIF,"48,902893","2,647214","48.902893,2.647214",UER_CHAMPIGNY,,C11,BAT,,"19,07"
18,L10.024J,ST 104.1,ST104.1,AGER_EST,A104EST,E,"24,04",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A104ESTE,12004405,1,,PCTT_EST,DIRIF,"48,867577","2,670817","48.867577,2.670817",UER_CHAMPIGNY,,C11,BAT,,"24,04"
19,L10.025K,TR 104.1,TR104.1,AGER_EST,A104EST,E,"26,03",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-TR,A104ESTE,12004412,1,,PCTT_EST,DIRIF,"48,85215","2,662397","48.852150,2.662397",UER_CHAMPIGNY,,C11,BAT,,"26,03"
20,L10.026L,ST 4.9,ST4.9,AGER_EST,A4,Y,"21,08",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A4Y,12004928,1,,PCTT_EST,DIRIF,"48,83177","2,669683","48.831770,2.669683",SANEF,,C11,BAT,,"21,08"
21,L10.027M,LC MAU + ST 4.8 - Val Maubuée,LC MAU_ST4.8,AGER_EST,A4,Y,"17,08",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LC,A4Y,12004913,1,,PCTT_EST,DIRIF,"48,829586","2,616183","48.829586,2.616183",SANEF,,C11,BAT,,"17,08"
22,L10.028N,PL MAU - Val Maubuée,PL_MAUBUEE,AGER_EST,A4,Y,"18,08",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,A4Y,12004918,1,,PCTT_EST,DIRIF,"48,830105","2,629994","48.830105,2.629994",SANEF,,C11,BAT,,"18,08"
23,L10.029P,ST 4.7,ST4.7,AGER_EST,A4,Y,"14,08",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A4Y,12004905,1,,PCTT_EST,DIRIF,"48,83471","2,576086","48.834710,2.576086",SANEF,,C11,BAT,,"14,08"
24,L10.031S,ST 4.6,ST4.6,AGER_EST,A4,Y,"12,07",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A4Y,12004900,1,,PCTT_EST,DIRIF,"48,83605","2,546756","48.836050,2.546756",UER_CHAMPIGNY,,C11,BAT,,"12,07"
25,L10.032T,PC RAT + ST 4.5 - Ratraits,PC_ST4.5,AGER_EST,A4,Y,"10,04",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PC,A4Y,12004894,1,,PCTT_EST,DIRIF,"48,826027","2,523514","48.826027,2.523514",UER_CHAMPIGNY,,C11,BAT,,"10,04"
26,L10.033U,TR 4.5,TR4.5,AGER_EST,A4,Y,"10,04",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-TR,A4Y,12004894,1,,PCTT_EST,DIRIF,"48,825974","2,523686","48.825974,2.523686",UER_CHAMPIGNY,,C11,BAT,,"10,04"
27,L10.034V,PI A86-A4,PI_A86-A4,AGER_EST,A4,Y,"7,09",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PI,A4Y,12004887,1,,PCTT_EST,DIRIF,"48,829826","2,487842","48.829826,2.487842",UER_CHAMPIGNY,,C11,BAT,,"7,09"
28,L10.035W,ST 4.4,ST4.4,AGER_EST,A4,Y,"7,08",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A4Y,12004887,1,,PCTT_EST,DIRIF,"48,829567","2,486553","48.829567,2.486553",UER_CHAMPIGNY,,C11,BAT,,"7,08"
29,L10.036X,ST 4.3,ST4.3,AGER_EST,A4,W,"6,02",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A4W,12004813,1,,PCTT_EST,DIRIF,"48,82657","2,464964","48.826570,2.464964",UER_CHAMPIGNY,,C11,BAT,,"6,02"
30,L10.037Y,LC CRI + ST 86.7 - Créteil,LC CRI_ST86.7,AGER_EST,A86EST,E,"37,074",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LC,A86ESTE,12005513,1,,PCTT_EST,DIRIF,"48,800556","2,448797","48.800556,2.448797",UER_CHAMPIGNY,,C11,BAT,,"37,074"
31,L10.038A,PL CANADIENS,PL_CANADIENS,AGER_EST,A4,W,"4,09",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,A4W,12004811,1,,PCTT_EST,DIRIF,"48,817097","2,452436","48.817097,2.452436",UER_CHAMPIGNY,,C11,BAT,,"4,09"
32,L10.039C,ST 4.2,ST4.2,AGER_EST,A4,Y,3,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A4Y,12004877,1,,PCTT_EST,DIRIF,"48,81709","2,430156","48.817090,2.430156",UER_CHAMPIGNY,,C11,BAT,,3
33,L10.041E,ST 4.1,ST4.1,AGER_EST,A4,Y,"0,085",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A4Y,12004867,1,,PCTT_EST,DIRIF,"48,82015","2,401889","48.820150,2.401889",UER_CHAMPIGNY,,C11,BAT,,"0,085"
34,L10.042F,LC USI (Usine de la gare de Nogent ),USINE_DE_LA_GARE,AGER_EST,A86EST,I,"31,041",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LSP,A86ESTI,12005313,2,L10.308W,PCTT_EST,DIRIF,"48,839542","2,493119","48.839542,2.493119",COMMUNE,,C11,BAT,,"31,041"
35,L10.043G,PI A86-EST,PI_A86-EST,AGER_EST,A86EST,I,"30,01",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PI,A86ESTI,12005308,1,,PCTT_EST,DIRIF,"48,86043","2,484442","48.860430,2.484442",UER_CHAMPIGNY,,C11,BAT,,"30,01"
36,L10.044H,TR W10.735,TRW10.735,AGER_NORD,A86NORD,E,28,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-TR,A86NORDE,12006938,1,,PCTT_NORD,DIRIF,"48,86949","2,482733","48.869490,2.482733",UER_SAINT-DENIS,,C11,BAT,,28
37,L10.046K,ST 3.1,ST3.1,AGER_NORD,A3,Y,2,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A3Y,12004947,1,,PCTT_NORD,DIRIF,"48,872776","2,436014","48.872776,2.436014",UER_SAINT-DENIS,,C11,BAT,,2
38,L10.048M,ST 3.3,ST3.3,AGER_NORD,A3,W,"9,01",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A3W,12005039,1,,PCTT_NORD,DIRIF,"48,915043","2,477261","48.915043,2.477261",UER_SAINT-DENIS,,C11,BAT,,"9,01"
39,L10.049N,ST 3.4,ST3.4,AGER_NORD,A3,Y,12,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A3Y,12004977,1,,PCTT_NORD,DIRIF,"48,942867","2,4785","48.942867,2.478500",UER_SAINT-DENIS,,C11,BAT,,12
40,L10.051R,TR 6.1,TR6.1,AGER_SUD,A6A,W,1,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-TR,A6AW,12005874,1,,PCTT_SUD,DIRIF,"48,80859","2,341256","48.808590,2.341256",UER_CHEVILLY-LARUE,,C11,BAT,,1
41,L10.052S,PL PAULY - Gentilly,PL_PAULY,AGER_SUD,A6A,W,"0,01",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,A6AW,12005875,1,,PCTT_SUD,DIRIF,"48,816277","2,337433","48.816277,2.337433",UER_CHEVILLY-LARUE,,C11,BAT,,"0,01"
42,L10.053T,PC ARC + ST 6.1 - Arcueil,PC_ST6.1,AGER_SUD,A6A,W,1,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PC,A6AW,12005874,1,,PCTT_SUD,DIRIF,"48,80857","2,341031","48.808570,2.341031",UER_CHEVILLY-LARUE,,C11,BAT,,1
43,L10.054U,ST 6.2,ST6.2,AGER_SUD,A6A,W,2,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A6AW,12005878,1,,PCTT_SUD,DIRIF,"48,79925","2,342947","48.799250,2.342947",UER_CHEVILLY-LARUE,,C11,BAT,,2
44,L10.055V,ST 6.3,ST6.3,AGER_SUD,A6B,W,"3,04",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A6BW,12005952,1,,PCTT_SUD,DIRIF,"48,787605","2,345956","48.787605,2.345956",UER_CHEVILLY-LARUE,,C11,BAT,,"3,04"
45,L10.056W,ST 6.4,ST6.4,AGER_SUD,A6A,W,"5,06",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A6AW,12005886,1,,PCTT_SUD,DIRIF,"48,768005","2,344828","48.768005,2.344828",UER_CHEVILLY-LARUE,,C11,BAT,,"5,06"
46,L10.057X,LC FRE + ST 6.5 - Fresnes,LC FRE_ST6.5,AGER_SUD,A6B,W,"6,09",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LC,A6BW,12005967,1,,PCTT_SUD,DIRIF,"48,757496","2,339336","48.757496,2.339336",UER_CHEVILLY-LARUE,,C11,BAT,,"6,09"
47,L10.058Y,ST 186.1 (Frères Lumière),ST186.1,AGER_SUD,A86SUD,I,"51,044",L,,EXPLOI,,Non,FRESNES,LOCAL,LOCAL-ST,A86SUDI,12006945,2,L10.268Y,PCTT_SUD,DIRIF,"48,760662","2,323236","48.760662,2.323236",UER_CHEVILLY-LARUE,,C11,BAT,,"51,044"
48,L10.061D,ST 6.6,ST6.6,AGER_SUD,A6,W,"9,0526",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A6W,12005798,1,,PCTT_SUD,DIRIF,"48,737087","2,317636","48.737087,2.317636",UER_ORSAY-VILLABE,,C11,BAT,,"9,0526"
49,L10.062E,LC CHI + ST 6.7 - Chilly-Mazarin,LC CHI_ST6.7,AGER_SUD,A6,W,"12,0802",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LC,A6W,12005734,1,,PCTT_SUD,DIRIF,"48,70889","2,307189","48.708890,2.307189",UER_ORSAY-VILLABE,,C11,BAT,,"12,0802"
50,L10.065H,ST 6.8,ST6.8,AGER_SUD,A6,W,"15,05",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A6W,12005743,1,,PCTT_SUD,DIRIF,"48,68869","2,324825","48.688690,2.324825",UER_ORSAY-VILLABE,,C11,BAT,,"15,05"
51,L10.066J,TR 6.9,TR6.9,AGER_SUD,A6,Y,"17,075",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-TR,A6Y,12005820,1,,PCTT_SUD,DIRIF,"48,67369","2,343486","48.673690,2.343486",UER_ORSAY-VILLABE,,C11,BAT,,"17,075"
52,L10.067K,ST 6.9,ST6.9,AGER_SUD,A6,W,"19,07",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A6W,12005756,1,,PCTT_SUD,DIRIF,"48,664757","2,364986","48.664757,2.364986",UER_ORSAY-VILLABE,,C11,BAT,,"19,07"
53,L10.069M,ST 6.10,ST6.10,AGER_SUD,A6,W,"23,03",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A6W,12005768,1,,PCTT_SUD,DIRIF,"48,6394","2,395742","48.639400,2.395742",UER_ORSAY-VILLABE,,C11,BAT,,"23,03"
54,L10.072R,TR 6.10 W,TR6.10W,AGER_SUD,A6,W,"22,005",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-TR,A6W,12005764,1,,PCTT_SUD,DIRIF,"48,648895","2,386589","48.648895,2.386589",UER_ORSAY-VILLABE,,C11,BAT,,"22,005"
55,L10.073S,PL COR - Corbeil Essonnes,PL_CORBEIL,AGER_SUD,A6,W,"27,047",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,A6W,12005785,1,,PCTT_SUD,DIRIF,"48,611385","2,433278","48.611385,2.433278",UER_ORSAY-VILLABE,,C11,BAT,,"27,047"
56,L10.074T,LC COR + ST 6.11 - Corbeil Essonnes,LC COR_ST6.11,AGER_SUD,A6,W,"27,08",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LC,A6W,12005786,1,,PCTT_SUD,DIRIF,"48,60826","2,43445","48.608260,2.434450",UER_ORSAY-VILLABE,,C11,BAT,,"27,08"
57,L10.075U,ST 447.1,ST447.1,AGER_SUD,N104SUD,I,"32,09",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,N104SUDI,12006528,1,,PCTT_SUD,DIRIF,"48,627285","2,476486","48.627285,2.476486",UER_ORSAY-VILLABE,,C11,BAT,,"32,09"
58,L10.076V,ST FR8,STFR8,AGER_SUD,N104SUD,I,"28,02",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,N104SUDI,12006510,1,,PCTT_SUD,DIRIF,"48,635723","2,534964","48.635723,2.534964",UER_BRIE-CTE-ROBERT,,C11,BAT,,"28,02"
59,L10.077W,PI N104-A5 (FR8),PI_FR8,AGER_SUD,N104SUD,I,"28,02",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PI,N104SUDI,12006510,1,,PCTT_SUD,DIRIF,"48,635723","2,534964","48.635723,2.534964",UER_ORSAY-VILLABE,,C11,BAT,,"28,02"
60,L10.078X,ST FR7,STFR7,AGER_SUD,N104SUD,I,"25,02",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,N104SUDI,12006499,1,,PCTT_SUD,DIRIF,"48,647213","2,564003","48.647213,2.564003",UER_BRIE-CTE-ROBERT,,C11,BAT,,"25,02"
61,L10.079Y,LC BRI + ST FR6 - Brie Comte Robert,LC BRI_STFR6,AGER_EST,N104SUD,I,21,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LC,N104SUDI,12006492,1,,PCTT_EST,DIRIF,"48,65228","2,613067","48.652280,2.613067",UER_BRIE-CTE-ROBERT,,C11,BAT,,21
62,L10.081C,PL BRI - Brie Comte Robert (ST-FR5),PL_BRIE,AGER_EST,N104EST,I,"18,005",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,N104ESTI,12006485,1,,PCTT_EST,DIRIF,"48,676586","2,609406","48.676586,2.609406",UER_BRIE-CTE-ROBERT,,C11,BAT,,"18,005"
63,L10.082D,ST FR5,STFR5,AGER_EST,N104EST,I,"18,005",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,N104ESTI,12006485,1,,PCTT_EST,DIRIF,"48,676533","2,609408","48.676533,2.609408",UER_BRIE-CTE-ROBERT,,C11,BAT,,"18,005"
64,L10.083E,ST FR4,STFR4,AGER_EST,N104EST,I,16,E,N19,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,N104ESTI,12006480,1,,PCTT_EST,DIRIF,"48,70323","2,595533","48.703230,2.595533",UER_BRIE-CTE-ROBERT,,C11,BAT,,16
65,L10.084F,ST FR3,STFR3,AGER_EST,N104EST,I,"11,09",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,N104ESTI,12006470,1,,PCTT_EST,DIRIF,"48,73305","2,609761","48.733050,2.609761",UER_BRIE-CTE-ROBERT,,C11,BAT,,"11,09"
66,L10.085G,ST FR2,STFR2,AGER_EST,N104EST,I,"7,01",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,N104ESTI,12006458,1,,PCTT_EST,DIRIF,"48,77265","2,611211","48.772650,2.611211",UER_BRIE-CTE-ROBERT,,C11,BAT,,"7,01"
67,L10.086H,ST FR1,STFR1,AGER_EST,N104EST,I,"3,08",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,N104ESTI,12006444,1,,PCTT_EST,DIRIF,"48,80157","2,625444","48.801570,2.625444",UER_BRIE-CTE-ROBERT,,C11,BAT,,"3,08"
68,L10.091N,ST 186.2 et SC ANT - Antony,ST186.2_SC_ANT,AGER_SUD,A86SUD,E,"52,08",L,,EXPLOI,,Non,ANTONY,LOCAL,LOCAL-ST,A86SUDE,12005656,1,,PCTT_SUD,DIRIF,"48,762283","2,304106","48.762283,2.304106",UER_JOUY-EN-JOSAS,,C11,BAT,,"52,08"
69,L10.092P,ST E 6.174,STE6.174,AGER_EST,A86EST,E,"32,048",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005504,1,,PCTT_EST,DIRIF,"48,83077","2,490694","48.830770,2.490694",UER_CHAMPIGNY,,C11,BAT,,"32,048"
70,L10.093R,ST E 6.475,STE6.475,AGER_EST,A86EST,E,"32,018",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005503,1,,PCTT_EST,DIRIF,"48,833904","2,493078","48.833904,2.493078",UER_CHAMPIGNY,,C11,BAT,,"32,018"
71,L10.094S,ST E 6.878,STE6.878,AGER_EST,A86EST,E,"31,078",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005500,1,,PCTT_EST,DIRIF,"48,836254","2,494244","48.836254,2.494244",UER_CHAMPIGNY,,C11,BAT,,"31,078"
72,L10.095T,ST E 7.266,STE7.266,AGER_EST,A86EST,E,"31,038",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005498,1,,PCTT_EST,DIRIF,"48,84042","2,493247","48.840420,2.493247",UER_CHAMPIGNY,,C11,BAT,,"31,038"
73,L10.096U,ST E 7.743,STE7.743,AGER_EST,A86EST,E,"30,09",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005497,1,,PCTT_EST,DIRIF,"48,844357","2,493139","48.844357,2.493139",UER_CHAMPIGNY,,C11,BAT,,"30,09"
74,L10.097V,ST E 8.057,STE8.057,AGER_EST,A86EST,E,"30,058",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005496,1,,PCTT_EST,DIRIF,"48,84724","2,492042","48.847240,2.492042",UER_CHAMPIGNY,,C11,BAT,,"30,058"
75,L10.098W,ST E 8.462,STE8.462,AGER_EST,A86EST,E,"30,018",,,EXPLOI,,Non,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005494,1,,PCTT_EST,DIRIF,"48,85075","2,490894","48.850750,2.490894",UER_CHAMPIGNY,,C11,BAT,,"30,018"
76,L10.099X,ST E 8.962,STE8.962,AGER_EST,A86EST,E,"29,068",,,EXPLOI,,Non,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005492,1,,PCTT_EST,DIRIF,"48,85528","2,489486","48.855280,2.489486",UER_CHAMPIGNY,,C11,BAT,,"29,068"
77,L10.101A,ST E 9.321,STE9.321,AGER_EST,A86EST,E,"29,032",,,EXPLOI,,Non,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005490,1,,PCTT_EST,DIRIF,"48,85825","2,488158","48.858250,2.488158",UER_CHAMPIGNY,,C11,BAT,,"29,032"
78,L10.102C,ST E 10.735,STE10.735,AGER_EST,A86EST,E,29,,,EXPLOI,,Non,NOGENT,LOCAL,LOCAL-ST,A86ESTE,12005487,1,,PCTT_EST,DIRIF,"48,86951","2,482747","48.869510,2.482747",UER_SAINT-DENIS,,C11,BAT,,29
79,L10.103D,ST W 0.418,STW0.418,AGER_EST,A86EST,I,"29,005",,,EXPLOI,,Non,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005303,1,,PCTT_EST,DIRIF,"48,859863","2,485378","48.859863,2.485378",UER_CHAMPIGNY,,C11,BAT,,"29,005"
80,L10.104E,ST W 0.750,STW0.750,AGER_EST,A86EST,I,"29,04",,,EXPLOI,,Non,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005305,1,,PCTT_EST,DIRIF,"48,857227","2,487614","48.857227,2.487614",UER_CHAMPIGNY,,C11,BAT,,"29,04"
81,L10.105F,ST W 1.148,STW1.148,AGER_EST,A86EST,I,"29,08",,,EXPLOI,,Non,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005306,1,,PCTT_EST,DIRIF,"48,85379","2,488667","48.853790,2.488667",UER_CHAMPIGNY,,C11,BAT,,"29,08"
82,L10.106G,ST W 1.465,STW1.465,AGER_EST,A86EST,I,"30,01",,,EXPLOI,,Non,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005308,1,,PCTT_EST,DIRIF,"48,85108","2,489781","48.851080,2.489781",UER_CHAMPIGNY,,C11,BAT,,"30,01"
83,L10.107H,ST W 1.962,STW1.962,AGER_EST,A86EST,I,"30,06",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005310,1,,PCTT_EST,DIRIF,"48,846848","2,491583","48.846848,2.491583",UER_CHAMPIGNY,,C11,BAT,,"30,06"
84,L10.108J,ST W 2.335,STW2.335,AGER_EST,A86EST,I,"30,098",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005311,1,,PCTT_EST,DIRIF,"48,84344","2,492497","48.843440,2.492497",UER_CHAMPIGNY,,C11,BAT,,"30,098"
85,L10.109K,ST W 2.712,STW2.712,AGER_EST,A86EST,I,"31,035",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005313,1,,PCTT_EST,DIRIF,"48,840427","2,492894","48.840427,2.492894",UER_CHAMPIGNY,,C11,BAT,,"31,035"
86,L10.111M,ST W 3.209,STW3.209,AGER_EST,A86EST,I,"31,086",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005315,1,,PCTT_EST,DIRIF,"48,836258","2,494058","48.836258,2.494058",UER_CHAMPIGNY,,C11,BAT,,"31,086"
87,L10.112N,ST W 3.496,STW3.496,AGER_EST,A86EST,I,"32,014",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005316,1,,PCTT_EST,DIRIF,"48,83268","2,492131","48.832680,2.492131",UER_CHAMPIGNY,,C11,BAT,,"32,014"
88,L10.113P,ST W 3.883,STW3.883,AGER_EST,A86EST,I,"32,052",,,EXPLOI,,Oui,NOGENT,LOCAL,LOCAL-ST,A86ESTI,12005318,1,,PCTT_EST,DIRIF,"48,830624","2,488603","48.830624,2.488603",UER_CHAMPIGNY,,C11,BAT,,"32,052"
89,L10.114R,ST 1,ST1,AGER_EST,A86EST,I,"40,045",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A86ESTI,12005337,1,,PCTT_EST,DIRIF,"48,777943","2,439897","48.777943,2.439897",UER_CHAMPIGNY,,C11,BAT,,"40,045"
